,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Bulls,10,217165,21716,103.8,8,17164,87.7,18,19693,96.9
1,2,Cavaliers,10,205620,20562,100.0,10,19188,98.1,20,19875,99.1
2,3,Mavericks,8,160894,20111,104.7,14,17641,93.6,22,18539,97.7
3,4,Raptors,9,179263,19918,100.6,13,17450,91.2,22,18460,95.1
4,5,NY Knicks,12,237744,19812,100.0,10,18735,97.7,22,19322,99.0
5,6,Heat,14,274999,19642,100.2,5,16840,84.2,19,18905,95.9
6,7,Warriors,10,195960,19596,100.0,12,18394,98.7,22,18940,99.3
7,8,Jazz,8,156588,19573,98.3,10,17026,87.0,18,18158,92.1
8,9,Trail Blazers,10,192882,19288,92.7,12,16869,89.2,22,17968,90.9
9,10,Clippers,14,267955,19139,100.4,7,16882,88.3,21,18387,96.4
10,11,Lakers,7,132979,18997,99.7,14,19417,99.6,21,19277,99.6
11,12,Spurs,11,202598,18418,99.1,11,17917,93.5,22,18167,96.3
12,13,Thunder,12,218436,18203,100.0,8,19104,99.0,20,18563,99.6
13,14,Wizards,10,178561,17856,88.1,9,17901,92.1,19,17877,89.9
14,15,Celtics,10,178459,17845,95.8,11,16680,91.1,21,17235,93.3
15,16,Rockets,13,229171,17628,97.7,8,18072,93.7,21,17797,96.1
16,17,Kings,12,208151,17345,100.2,10,16766,89.0,22,17082,94.9
17,18,Magic,10,173349,17334,92.0,10,17146,88.5,20,17240,90.2
18,19,Suns,10,173034,17303,93.9,12,16976,87.7,22,17125,90.5
19,20,Grizzlies,11,187417,17037,94.0,10,17765,94.5,21,17384,94.3
20,21,Pelicans,10,169681,16968,98.7,11,18691,97.2,21,17870,97.9
21,22,Hornets,12,197320,16443,86.2,8,19106,97.3,20,17508,90.7
22,23,Pistons,10,163239,16323,73.9,12,16874,89.4,22,16624,81.8
23,24,Pacers,8,128716,16089,88.6,11,17868,88.8,19,17119,88.7
24,25,Hawks,12,191705,15975,85.3,10,17541,92.8,22,16687,88.7
25,26,76ers,10,149007,14900,73.3,12,17271,91.2,22,16193,82.7
26,27,Nets,8,118489,14811,81.8,12,17463,93.0,20,16402,88.6
27,28,Bucks,11,158017,14365,76.7,11,16427,84.3,22,15396,80.6
28,29,Timberwolves,11,151115,13737,71.0,9,17720,93.3,20,15529,80.9
29,30,Nuggets,9,122566,13618,71.1,12,17790,93.6,21,16002,83.9
