,Ranking,Teams,DIV,GP,W,L,OT,P,ROW,GF,GA,Diff,Home,Away,S/O,L10,Streak,Pct
0,1,Montréal,A,26,19,4,3,41,18,90,57,33,10-2-2,9-2-1,1-1,6-2-2,Won 1,0.730769230769
1,2,Dallas,C,25,19,5,1,39,18,88,66,22,9-3-0,10-2-1,1-1,7-2-1,OT 1,0.76
2,3,NY Rangers,M,25,17,6,2,36,16,74,53,21,11-3-1,6-3-1,1-1,6-4-0,Won 1,0.68
3,4,Washington,M,23,17,5,1,35,16,75,51,24,10-3-1,7-2-0,1-0,7-2-1,Won 5,0.739130434783
4,5,St. Louis,C,25,15,7,3,33,14,66,61,5,7-3-2,8-4-1,1-0,4-4-2,Lost 1,0.6
5,6,Los Angeles,P,24,15,8,1,31,14,60,51,9,9-5-0,6-3-1,1-1,6-3-1,Won 2,0.625
6,7,Pittsburgh,M,24,14,8,2,30,13,57,55,2,8-4-1,6-4-1,1-1,5-3-2,Won 1,0.583333333333
7,8,Nashville,C,24,13,7,4,30,11,64,62,2,8-2-2,5-5-2,2-1,4-4-2,Won 1,0.541666666667
8,9,NY Islanders,M,25,13,8,4,30,13,72,62,10,8-4-2,5-4-2,0-2,6-3-1,Won 2,0.52
9,10,Detroit,A,25,13,8,4,30,12,61,64,-3,7-5-3,6-3-1,1-0,5-2-3,Won 1,0.52
10,11,Ottawa,A,24,12,7,5,29,9,78,72,6,5-4-4,7-3-1,3-3,5-3-2,Lost 2,0.5
11,12,Chicago,C,25,13,9,3,29,13,68,64,4,8-3-1,5-6-2,-,5-3-2,Lost 1,0.52
12,13,Minnesota,C,23,12,7,4,28,12,65,62,3,8-3-1,4-4-3,-,4-4-2,Won 1,0.521739130435
13,14,San Jose,P,24,14,10,0,28,13,67,63,4,4-7-0,10-3-0,1-0,7-3-0,Lost 1,0.583333333333
14,15,Boston,A,22,13,8,1,27,12,73,64,9,5-6-1,8-2-0,1-0,7-3-0,Won 5,0.590909090909
15,16,Arizona,P,24,13,10,1,27,13,67,70,-3,6-4-0,7-6-1,-,6-4-0,Lost 1,0.541666666667
16,17,New Jersey,M,24,12,10,2,26,10,57,59,-2,5-6-2,7-4-0,2-2,4-5-1,Lost 1,0.5
17,18,Florida,A,24,11,9,4,26,9,63,60,3,6-5-2,5-4-2,2-1,6-3-1,Won 3,0.458333333333
18,19,Vancouver,P,26,9,9,8,26,8,70,71,-1,3-4-3,6-5-5,1-1,2-5-3,OT 1,0.346153846154
19,20,Tampa Bay,A,25,11,11,3,25,10,59,58,1,6-5-1,5-6-2,1-2,4-5-1,Lost 2,0.44
20,21,Philadelphia,M,25,10,10,5,25,9,49,67,-18,5-4-3,5-6-2,1-1,5-3-2,Won 3,0.4
21,22,Winnipeg,C,25,11,12,2,24,11,67,80,-13,5-4-1,6-8-1,0-1,3-7-0,Lost 1,0.44
22,23,Buffalo,A,25,10,12,3,23,9,58,67,-9,5-8-1,5-4-2,1-2,3-4-3,OT 1,0.4
23,24,Anaheim,P,25,9,11,5,23,8,51,65,-14,6-3-4,3-8-1,1-1,4-4-2,Won 1,0.36
24,25,Toronto,A,24,8,11,5,21,6,56,66,-10,4-5-3,4-6-2,2-4,6-3-1,Won 1,0.333333333333
25,26,Colorado,C,25,10,14,1,21,10,73,76,-3,3-6-1,7-8-0,-,5-5-0,Won 1,0.4
26,27,Carolina,M,24,8,12,4,20,8,50,70,-20,4-5-3,4-7-1,0-1,2-4-4,Lost 2,0.333333333333
27,28,Calgary,P,25,9,14,2,20,8,60,90,-30,6-5-0,3-9-2,1-1,4-5-1,Won 1,0.36
28,29,Columbus,M,26,10,16,0,20,10,61,78,-17,4-7-0,6-9-0,-,6-4-0,Lost 2,0.384615384615
29,30,Edmonton,P,25,8,15,2,18,7,62,77,-15,4-5-1,4-10-1,1-0,3-5-2,Lost 1,0.32
